Thermal Conductivity(W/mK),Predicted by model,Set
99.0,102.088425,Train
133.0,133.01454,Train
101.2,101.06458,Train
126.0,125.95985,Train
149.0,149.01157,Train
62.39,62.432602,Train
107.0,106.83549,Train
125.0,125.14664,Train
121.0,120.48037,Train
74.0,73.240135,Train
135.0,135.33165,Train
133.0,133.1185,Train
142.0,141.37848,Train
100.3,100.500046,Train
123.0,123.299934,Train
154.0,153.80914,Train
93.0,87.58068,Train
108.0,101.607574,Train
106.0,106.67244,Train
108.4,102.088425,Train
77.0,72.7754,Train
121.0,120.2165,Train
83.7,83.95381,Train
111.0,111.862816,Train
116.0,115.84644,Train
91.9,92.05589,Train
105.0,104.708694,Train
110.3,101.785645,Train
95.0,101.607574,Train
100.0,100.54753,Train
144.0,144.23442,Train
86.0,86.24456,Train
64.1,63.342484,Train
112.0,112.044945,Train
93.0,93.0313,Train
101.3,102.088425,Train
119.0,120.48037,Train
58.0,58.419186,Train
115.0,115.34928,Train
156.0,155.88866,Train
100.0,99.97832,Train
148.0,148.73195,Train
74.1,74.11165,Train
125.0,125.14664,Train
84.0,88.20424,Train
86.0,85.73443,Train
94.0,88.20424,Train
68.5,72.7754,Train
88.0,87.75346,Train
124.0,124.344315,Train
68.0,73.240135,Train
126.0,126.080734,Train
111.1,111.258606,Train
143.0,143.8223,Train
154.0,153.80914,Train
77.0,73.240135,Train
106.2,106.323326,Train
82.56,82.61246,Train
121.0,120.75066,Train
94.9,101.785645,Train
121.0,120.48037,Train
136.0,135.44843,Train
108.5,108.410126,Train
97.0,96.28213,Train
145.0,145.0074,Train
66.2,65.73947,Train
84.0,87.58068,Train
102.4,102.088425,Train
55.0,54.874386,Train
117.0,116.95235,Train
103.4,102.088425,Train
142.0,142.02942,Train
122.0,121.185745,Train
65.0,65.25156,Train
154.0,153.67863,Train
128.0,128.0482,Train
98.0,98.30092,Train
105.0,104.655754,Train
111.0,110.59858,Train
98.0,98.708115,Train
112.0,111.46096,Train
155.0,154.86734,Train
97.7,97.79692,Train
112.5,109.02527,Test
75.0,73.240135,Test
151.0,148.44102,Test
133.0,135.33165,Test
60.0,52.2563,Test
114.0,111.4304,Test
116.0,119.47274,Test
71.0,73.240135,Test
88.8,99.43799,Test
102.0,102.088425,Test
109.0,111.862816,Test
155.0,153.96742,Test
89.61,82.61246,Test
102.0,101.607574,Test
76.5,72.7754,Test
