Thermal Conductivity(W/mK),Predicted by model,Set
60.0,59.907436,Train
76.5,76.67437,Train
58.0,58.20666,Train
66.7,66.89132,Train
62.39,61.81147,Train
83.7,83.607574,Train
88.8,88.744705,Train
112.0,111.8449,Train
155.0,154.652,Train
110.3,101.722305,Train
155.0,155.2199,Train
133.0,132.82394,Train
94.9,101.722305,Train
105.0,104.67944,Train
154.0,153.95464,Train
107.0,106.19683,Train
106.0,106.63492,Train
83.0,82.961845,Train
89.0,88.46734,Train
136.0,135.45807,Train
105.0,105.45977,Train
102.0,101.63541,Train
142.0,141.71918,Train
82.56,81.78635,Train
86.0,85.98654,Train
154.0,153.8528,Train
112.5,112.33537,Train
108.4,104.05276,Train
125.0,124.28037,Train
89.61,89.33182,Train
121.0,119.70718,Train
79.0,78.780205,Train
108.0,101.63541,Train
112.0,112.61246,Train
77.0,76.67437,Train
95.0,101.63541,Train
145.0,144.92598,Train
76.3,76.47818,Train
74.1,73.35866,Train
97.7,97.82134,Train
68.0,71.969345,Train
111.0,110.91878,Train
93.0,93.05705,Train
119.0,119.70718,Train
149.0,148.80013,Train
148.0,148.58058,Train
100.0,100.580376,Train
100.3,100.372955,Train
111.1,111.05104,Train
101.3,104.05276,Train
121.0,119.70718,Train
109.0,108.96608,Train
107.0,106.59445,Train
66.7,66.89132,Train
84.0,89.97955,Train
98.0,98.03874,Train
116.0,116.37738,Train
94.0,94.20717,Train
85.0,85.35716,Train
121.0,105.46411,Train
61.0,61.685623,Train
106.2,106.02179,Train
75.0,71.969345,Train
151.0,151.73956,Train
86.0,105.46411,Train
98.0,98.52052,Train
91.9,91.99017,Train
110.0,109.08582,Train
65.5,64.65934,Train
123.0,122.82096,Train
65.0,65.47679,Train
109.0,108.87263,Train
94.0,89.97955,Train
76.3,76.39419,Train
126.0,125.995766,Train
94.0,93.808945,Train
71.0,71.969345,Train
154.0,153.8528,Train
93.0,92.67256,Train
76.2,75.70675,Train
121.0,121.99073,Train
102.4,104.05276,Train
85.0,85.57489,Train
100.0,99.85359,Train
103.4,104.05276,Train
117.0,117.69094,Train
142.0,141.48186,Train
156.0,155.98701,Train
116.0,116.32079,Train
128.0,127.193634,Train
64.1,63.685753,Train
97.0,97.0697,Train
108.5,108.783,Train
50.1,50.28672,Train
133.0,133.48749,Train
74.0,71.969345,Train
88.0,88.365555,Train
114.0,113.77477,Train
101.2,101.63584,Train
121.0,120.38169,Train
76.0,76.11489,Train
144.0,144.36461,Train
66.2,73.35866,Test
63.0,67.13142,Test
99.0,104.05276,Test
84.0,82.57476,Test
82.0,79.67063,Test
68.5,76.67437,Test
55.0,53.836628,Test
115.0,107.92911,Test
135.0,133.48749,Test
125.0,124.28037,Test
111.0,108.96608,Test
77.0,71.969345,Test
133.0,128.17882,Test
84.0,92.67256,Test
126.0,124.99352,Test
143.0,151.73956,Test
122.0,127.193634,Test
102.0,104.05276,Test
124.0,122.970085,Test
