Thermal Conductivity(W/mK),Predicted by model,Set
102.0,103.18939,Train
82.0,82.07271,Train
66.2,66.644104,Train
77.0,74.35172,Train
155.0,155.10658,Train
133.0,133.60722,Train
83.7,83.63483,Train
98.0,98.87121,Train
107.0,107.00616,Train
84.0,89.10598,Train
154.0,153.52954,Train
88.8,88.64137,Train
112.0,112.09891,Train
97.7,97.42656,Train
105.0,105.2137,Train
154.0,153.52954,Train
125.0,125.42424,Train
111.0,110.99662,Train
83.0,83.16977,Train
84.0,89.06605,Train
76.5,74.35172,Train
105.0,104.72444,Train
102.0,101.42119,Train
142.0,141.82156,Train
62.39,62.36152,Train
86.0,85.99374,Train
86.0,85.91431,Train
106.0,106.563156,Train
108.4,103.18939,Train
68.5,74.35172,Train
82.56,82.38714,Train
121.0,120.31118,Train
79.0,79.13795,Train
108.0,101.42119,Train
112.0,111.460495,Train
68.0,71.90742,Train
95.0,101.42119,Train
111.1,111.0035,Train
76.3,76.49495,Train
74.1,73.815216,Train
55.0,54.94763,Train
89.61,89.888405,Train
121.0,103.566345,Train
93.0,93.27375,Train
119.0,120.31118,Train
154.0,153.82523,Train
126.0,125.18762,Train
100.0,100.00315,Train
100.3,100.165726,Train
112.5,112.38137,Train
101.3,103.18939,Train
121.0,120.31118,Train
109.0,108.87903,Train
98.0,98.7089,Train
66.7,67.060265,Train
94.9,95.25214,Train
60.0,59.598576,Train
149.0,149.37288,Train
94.0,93.666534,Train
85.0,85.12895,Train
106.2,106.0864,Train
61.0,61.185547,Train
65.0,65.48413,Train
75.0,71.90742,Train
143.0,143.1073,Train
86.0,103.566345,Train
116.0,115.90515,Train
91.9,91.82698,Train
110.0,110.55912,Train
65.5,65.082954,Train
123.0,123.217705,Train
151.0,150.8599,Train
109.0,108.95863,Train
94.0,89.06605,Train
76.3,76.170746,Train
145.0,145.13313,Train
94.0,94.266914,Train
71.0,71.90742,Train
148.0,148.58098,Train
93.0,89.10598,Train
76.2,75.79689,Train
125.0,125.42424,Train
102.4,103.18939,Train
85.0,84.50758,Train
100.0,99.95737,Train
103.4,103.18939,Train
117.0,116.4659,Train
142.0,141.50018,Train
156.0,156.08629,Train
116.0,115.98766,Train
122.0,121.49242,Train
64.1,64.050026,Train
97.0,96.576355,Train
108.5,108.21418,Train
50.1,50.04449,Train
133.0,132.63452,Train
74.0,71.90742,Train
88.0,87.97555,Train
114.0,113.52572,Train
101.2,101.073364,Train
121.0,120.33532,Train
76.0,75.96394,Train
144.0,144.09964,Train
111.0,108.87903,Test
58.0,66.644104,Test
63.0,65.7667,Test
124.0,124.5803,Test
99.0,103.18939,Test
135.0,132.63452,Test
77.0,71.90742,Test
121.0,113.52572,Test
66.7,67.060265,Test
84.0,82.67999,Test
89.0,88.74618,Test
136.0,131.75064,Test
115.0,109.7358,Test
126.0,126.679855,Test
128.0,126.64763,Test
133.0,140.18695,Test
110.3,95.25214,Test
107.0,104.25065,Test
155.0,145.13313,Test
